Nos.,order_id,Item,Price,City,Quantity,Bill Amount,State of Delivery,Year
1,1,Product 42,83,Pune,4,332,Maharashtra,2014
2,1,Product 462,58,Pune,6,348,Maharashtra,2014
3,1,Product 305,277,Pune,6,1662,Maharashtra,2014
4,1,Product 388,242,Pune,7,1694,Maharashtra,2014
5,1,Product 128,261,Pune,7,1827,Maharashtra,2014
6,1,Product 163,124,Pune,2,248,Maharashtra,2014
7,1,Product 217,68,Pune,9,612,Maharashtra,2014
8,1,Product 32,192,Pune,1,192,Maharashtra,2014
9,1,Product 187,103,Pune,10,1030,Maharashtra,2014
10,1,Product 236,65,Pune,9,585,Maharashtra,2014
11,1,Product 94,284,Pune,5,1420,Maharashtra,2014
12,2,Product 407,252,Coimbatore,1,252,Tamil Nadu,2014
13,2,Product 499,78,Coimbatore,6,468,Tamil Nadu,2014
14,2,Product 80,245,Coimbatore,10,2450,Tamil Nadu,2014
15,2,Product 54,201,Coimbatore,6,1206,Tamil Nadu,2014
16,2,Product 109,272,Coimbatore,6,1632,Tamil Nadu,2014
17,2,Product 351,261,Coimbatore,1,261,Tamil Nadu,2014
18,2,Product 485,271,Coimbatore,2,542,Tamil Nadu,2014
19,2,Product 360,233,Coimbatore,6,1398,Tamil Nadu,2014
20,2,Product 104,202,Coimbatore,4,808,Tamil Nadu,2014
21,2,Product 390,207,Coimbatore,4,828,Tamil Nadu,2014
22,2,Product 173,123,Coimbatore,8,984,Tamil Nadu,2014
23,2,Product 93,174,Coimbatore,1,174,Tamil Nadu,2014
24,3,Product 451,83,Aurangabad,1,83,Maharashtra,2014
25,3,Product 295,155,Aurangabad,6,930,Maharashtra,2014
26,3,Product 215,150,Aurangabad,2,300,Maharashtra,2014
27,3,Product 309,195,Aurangabad,5,975,Maharashtra,2014
28,3,Product 224,264,Aurangabad,3,792,Maharashtra,2014
29,3,Product 355,80,Aurangabad,6,480,Maharashtra,2014
30,3,Product 315,263,Aurangabad,4,1052,Maharashtra,2014
31,3,Product 212,259,Aurangabad,4,1036,Maharashtra,2014
32,3,Product 44,153,Aurangabad,1,153,Maharashtra,2014
33,3,Product 357,87,Aurangabad,7,609,Maharashtra,2014
34,3,Product 99,125,Aurangabad,4,500,Maharashtra,2014
35,3,Product 364,65,Aurangabad,1,65,Maharashtra,2014
36,3,Product 377,119,Aurangabad,2,238,Maharashtra,2014
37,3,Product 471,198,Aurangabad,3,594,Maharashtra,2014
38,3,Product 182,259,Aurangabad,8,2072,Maharashtra,2014
39,3,Product 36,214,Aurangabad,7,1498,Maharashtra,2014
40,3,Product 467,211,Aurangabad,3,633,Maharashtra,2014
41,4,Product 344,119,Nagpur,2,238,Maharashtra,2014
42,4,Product 144,99,Nagpur,3,297,Maharashtra,2014
43,4,Product 184,275,Nagpur,4,1100,Maharashtra,2014
44,4,Product 166,79,Nagpur,7,553,Maharashtra,2014
45,4,Product 329,219,Nagpur,9,1971,Maharashtra,2014
46,4,Product 414,130,Nagpur,8,1040,Maharashtra,2014
47,4,Product 371,97,Nagpur,5,485,Maharashtra,2014
48,4,Product 498,56,Nagpur,2,112,Maharashtra,2014
49,4,Product 441,292,Nagpur,4,1168,Maharashtra,2014
50,4,Product 93,174,Nagpur,1,174,Maharashtra,2014
51,4,Product 129,65,Nagpur,9,585,Maharashtra,2014
52,5,Product 23,296,Ahemadabad,8,2368,Gujarat,2014
53,5,Product 123,219,Ahemadabad,8,1752,Gujarat,2014
54,5,Product 350,206,Ahemadabad,5,1030,Gujarat,2014
55,5,Product 284,75,Ahemadabad,2,150,Gujarat,2014
56,5,Product 215,150,Ahemadabad,3,450,Gujarat,2014
57,5,Product 102,283,Ahemadabad,7,1981,Gujarat,2014
58,5,Product 262,282,Ahemadabad,9,2538,Gujarat,2014
59,5,Product 214,152,Ahemadabad,8,1216,Gujarat,2014
60,5,Product 290,73,Ahemadabad,6,438,Gujarat,2014
61,5,Product 219,203,Ahemadabad,8,1624,Gujarat,2014
62,5,Product 47,290,Ahemadabad,1,290,Gujarat,2014
63,5,Product 485,271,Ahemadabad,8,2168,Gujarat,2014
64,5,Product 103,76,Ahemadabad,6,456,Gujarat,2014
65,6,Product 224,264,Gurgaon,7,1848,Haryana,2014
66,6,Product 164,122,Gurgaon,10,1220,Haryana,2014
67,6,Product 206,85,Gurgaon,3,255,Haryana,2014
68,6,Product 397,255,Gurgaon,5,1275,Haryana,2014
69,6,Product 399,103,Gurgaon,4,412,Haryana,2014
70,6,Product 469,183,Gurgaon,8,1464,Haryana,2014
71,6,Product 291,116,Gurgaon,7,812,Haryana,2014
